epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,8770.17,0.60365,0.29749,0.92916,0.95402,0.96566,0.98031,0.86644,0.59276,0.31079,0.91709,0.001486,0.001486,0.001486
88,8865.45,0.60183,0.294,0.92726,0.95455,0.96521,0.98013,0.86602,0.59274,0.31075,0.91702,0.001387,0.001387,0.001387
89,8960.89,0.59715,0.29303,0.92557,0.95493,0.96459,0.98004,0.86626,0.5927,0.31076,0.91689,0.001288,0.001288,0.001288
90,9056.21,0.59854,0.29129,0.92564,0.95709,0.96273,0.98,0.86626,0.5926,0.31096,0.91676,0.001189,0.001189,0.001189
91,9168.76,0.56851,0.23197,0.90314,0.95681,0.96279,0.97969,0.86645,0.59267,0.31135,0.9168,0.00109,0.00109,0.00109
92,9263.23,0.56622,0.22774,0.90043,0.95698,0.963,0.97955,0.86674,0.59253,0.3118,0.91665,0.000991,0.000991,0.000991
93,9358.11,0.56255,0.22627,0.89898,0.95686,0.96332,0.97947,0.86666,0.59254,0.31258,0.91657,0.000892,0.000892,0.000892
94,9453.33,0.56179,0.22532,0.89947,0.95663,0.96303,0.97923,0.86626,0.59231,0.31277,0.91647,0.000793,0.000793,0.000793
95,9548.44,0.55878,0.22347,0.89799,0.95591,0.96367,0.97915,0.86637,0.59215,0.31283,0.91635,0.000694,0.000694,0.000694
96,9643.27,0.55691,0.22177,0.89768,0.95584,0.96384,0.97909,0.86642,0.59203,0.3132,0.91624,0.000595,0.000595,0.000595
97,9738.04,0.55612,0.22023,0.89696,0.95485,0.96477,0.979,0.86679,0.5917,0.31318,0.9161,0.000496,0.000496,0.000496
98,9833.04,0.55373,0.2184,0.89453,0.95441,0.96491,0.97896,0.86653,0.59172,0.31336,0.91604,0.000397,0.000397,0.000397
99,9927.9,0.55171,0.21795,0.89469,0.95695,0.96248,0.97883,0.86667,0.59165,0.31338,0.916,0.000298,0.000298,0.000298
100,10022.7,0.55005,0.21708,0.89367,0.95521,0.96468,0.97884,0.86672,0.59153,0.3136,0.91594,0.000199,0.000199,0.000199
